task,dataset,tokenization,n_seeds,n_points_per_class,pool size,recall,map
txt2img,coco,_lemma,1,5,1000,0.72,0.24
txt2img,coco,_lemma,1,10,1000,0.84,0.38
txt2img,coco,_lemma,1,20,1000,0.8,0.3
txt2img,coco,_lemma,1,30,1000,0.76,0.37
txt2img,coco,_lemma,2,5,1000,0.62,0.22
txt2img,coco,_lemma,2,10,1000,0.67,0.36
txt2img,coco,_lemma,2,20,1000,0.83,0.38
txt2img,coco,_lemma,2,30,1000,0.87,0.35
txt2img,coco,_lemma,5,5,1000,0.72,0.32
txt2img,coco,_lemma,5,10,1000,0.68,0.28
txt2img,coco,_lemma,5,20,1000,0.88,0.23
txt2img,coco,_lemma,5,30,1000,0.84,0.28
img2txt,coco,_lemma,1,5,1000,0.32,0.13
img2txt,coco,_lemma,1,10,1000,0.52,0.16
img2txt,coco,_lemma,1,20,1000,0.56,0.14
img2txt,coco,_lemma,1,30,1000,0.56,0.22
img2txt,coco,_lemma,2,5,1000,0.29,0.09
img2txt,coco,_lemma,2,10,1000,0.46,0.18
img2txt,coco,_lemma,2,20,1000,0.54,0.12
img2txt,coco,_lemma,2,30,1000,0.58,0.16
img2txt,coco,_lemma,5,5,1000,0.28,0.09
img2txt,coco,_lemma,5,10,1000,0.52,0.12
img2txt,coco,_lemma,5,20,1000,0.32,0.1
img2txt,coco,_lemma,5,30,1000,0.56,0.22
img2img,coco,_lemma,1,5,1000,0.68,0.33
img2img,coco,_lemma,1,10,1000,0.84,0.49
img2img,coco,_lemma,1,20,1000,0.88,0.26
img2img,coco,_lemma,1,30,1000,0.92,0.46
img2img,coco,_lemma,2,5,1000,0.79,0.45
img2img,coco,_lemma,2,10,1000,0.75,0.31
img2img,coco,_lemma,2,20,1000,0.87,0.41
img2img,coco,_lemma,2,30,1000,0.92,0.47
img2img,coco,_lemma,5,5,1000,0.88,0.35
img2img,coco,_lemma,5,10,1000,0.84,0.36
img2img,coco,_lemma,5,20,1000,0.8,0.38
img2img,coco,_lemma,5,30,1000,0.88,0.43
txt2txt,coco,_lemma,1,5,1000,0.44,0.17
txt2txt,coco,_lemma,1,10,1000,0.68,0.21
txt2txt,coco,_lemma,1,20,1000,0.68,0.22
txt2txt,coco,_lemma,1,30,1000,0.8,0.32
txt2txt,coco,_lemma,2,5,1000,0.54,0.2
txt2txt,coco,_lemma,2,10,1000,0.67,0.3
txt2txt,coco,_lemma,2,20,1000,0.83,0.27
txt2txt,coco,_lemma,2,30,1000,0.79,0.28
txt2txt,coco,_lemma,5,5,1000,0.56,0.24
txt2txt,coco,_lemma,5,10,1000,0.68,0.28
txt2txt,coco,_lemma,5,20,1000,0.72,0.28
txt2txt,coco,_lemma,5,30,1000,0.92,0.37
txt2img,flickr30k,_lemma,1,5,1000,0.36,0.11
txt2img,flickr30k,_lemma,1,10,1000,0.48,0.19
txt2img,flickr30k,_lemma,1,20,1000,0.4,0.08
txt2img,flickr30k,_lemma,1,30,1000,0.6,0.13
txt2img,flickr30k,_lemma,2,5,1000,0.38,0.1
txt2img,flickr30k,_lemma,2,10,1000,0.5,0.16
txt2img,flickr30k,_lemma,2,20,1000,0.67,0.24
txt2img,flickr30k,_lemma,2,30,1000,0.58,0.11
txt2img,flickr30k,_lemma,5,5,1000,0.6,0.24
txt2img,flickr30k,_lemma,5,10,1000,0.56,0.23
txt2img,flickr30k,_lemma,5,20,1000,0.64,0.27
txt2img,flickr30k,_lemma,5,30,1000,0.64,0.15
img2txt,flickr30k,_lemma,1,5,1000,0.16,0.05
img2txt,flickr30k,_lemma,1,10,1000,0.16,0.07
img2txt,flickr30k,_lemma,1,20,1000,0.28,0.15
img2txt,flickr30k,_lemma,1,30,1000,0.4,0.1
img2txt,flickr30k,_lemma,2,5,1000,0.17,0.08
img2txt,flickr30k,_lemma,2,10,1000,0.25,0.11
img2txt,flickr30k,_lemma,2,20,1000,0.25,0.04
img2txt,flickr30k,_lemma,2,30,1000,0.21,0.06
img2txt,flickr30k,_lemma,5,5,1000,0.16,0.05
img2txt,flickr30k,_lemma,5,10,1000,0.28,0.05
img2txt,flickr30k,_lemma,5,20,1000,0.24,0.06
