task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
txt2img,clip,coco,2,5,tsne (pca),hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,10,5,tsne (pca),hdbscan,5,centroid,10,1000,0.16,0.08
txt2img,clip,coco,2,10,tsne (pca),hdbscan,5,centroid,10,1000,0,0
txt2img,clip,coco,3,10,tsne (pca),hdbscan,5,centroid,10,1000,0.52,0.25
txt2img,clip,coco,5,10,tsne (pca),hdbscan,5,centroid,10,1000,0.36,0.12
txt2img,clip,coco,10,10,tsne (pca),hdbscan,5,centroid,10,1000,0.08,0.02
txt2img,clip,coco,2,20,tsne (pca),hdbscan,5,centroid,10,1000,0.92,0.7
txt2img,clip,coco,3,20,tsne (pca),hdbscan,5,centroid,10,1000,0.64,0.29
txt2img,clip,coco,5,20,tsne (pca),hdbscan,5,centroid,10,1000,0.4,0.27
txt2img,clip,coco,10,20,tsne (pca),hdbscan,5,centroid,10,1000,0.2,0.12
txt2img,clip,coco,2,30,tsne (pca),hdbscan,5,centroid,10,1000,0.88,0.55
txt2img,clip,coco,3,30,tsne (pca),hdbscan,5,centroid,10,1000,0.64,0.33
txt2img,clip,coco,5,30,tsne (pca),hdbscan,5,centroid,10,1000,0.36,0.22
txt2img,clip,coco,10,30,tsne (pca),hdbscan,5,centroid,10,1000,0.44,0.29
txt2img,clip,coco,2,5,tsne (pca),hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,5,medoid,10,1000,0,0
txt2img,clip,coco,10,5,tsne (pca),hdbscan,5,medoid,10,1000,0.2,0.13
txt2img,clip,coco,2,10,tsne (pca),hdbscan,5,medoid,10,1000,0.04,0.01
txt2img,clip,coco,3,10,tsne (pca),hdbscan,5,medoid,10,1000,0.4,0.23
txt2img,clip,coco,5,10,tsne (pca),hdbscan,5,medoid,10,1000,0.36,0.2
txt2img,clip,coco,10,10,tsne (pca),hdbscan,5,medoid,10,1000,0.16,0.06
txt2img,clip,coco,2,20,tsne (pca),hdbscan,5,medoid,10,1000,0.88,0.49
txt2img,clip,coco,3,20,tsne (pca),hdbscan,5,medoid,10,1000,0.56,0.36
txt2img,clip,coco,5,20,tsne (pca),hdbscan,5,medoid,10,1000,0.36,0.15
txt2img,clip,coco,10,20,tsne (pca),hdbscan,5,medoid,10,1000,0.12,0.12
txt2img,clip,coco,2,30,tsne (pca),hdbscan,5,medoid,10,1000,0.88,0.6
txt2img,clip,coco,3,30,tsne (pca),hdbscan,5,medoid,10,1000,0.52,0.33
txt2img,clip,coco,5,30,tsne (pca),hdbscan,5,medoid,10,1000,0.32,0.09
txt2img,clip,coco,10,30,tsne (pca),hdbscan,5,medoid,10,1000,0.56,0.3
txt2img,clip,coco,2,5,tsne (pca),hdbscan,15,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,15,centroid,10,1000,0,0
